title,author,description,genres,rating,numRatings
"The Life and Opinions of Tristram Shandy, Gentleman","Laurence Sterne, Melvyn New (Editor), Christopher Ricks (Introduction)","No one description will fit this strange, eccentric, endlessly complex masterpiece. It is a fiction about fiction-writing in which the invented world is as much infused with wit and genius as the theme of inventing it. It is a joyful celebration of the infinite possibilities of the art of fiction, and a wry demonstration of its limitations. This Penguin Classic contains Christopher Ricks's introductory essay, itself a classic of English literary criticism, together with a new introduction on the recent critical history and influence of Tristram Shandy by Melvyn New. The text and notes are based on the acclaimed Florida Edition, making the scholarship of the Florida editors readily available for the first time.","['Classics', 'Fiction', 'Literature', '18th Century', 'Humor', 'Novels', 'British Literature', 'English Literature', 'Classic Literature', 'Irish Literature']",3.74,19119
UnBound,"Neal Shusterman (Goodreads Author), Michelle Knowlden, Jarrod Shusterman, Terry Black (Goodreads Author), Brendan Shusterman","In the New York Times bestselling Unwind Dystology—Unwind, UnWholly, UnSouled, and UnDivided—Neal Shusterman thrilled readers with the story of a society that deals with its out-of-control teens by “unwinding” them—transplanting more than 99% of their bodies into other people.In the latest installment of this sequence, Shusterman—along with collaborators Terry Black, Michelle Knowlden, Brendan Shusterman, and Jarrod Shusterman—explores even more aspects of a world that has accepted the unacceptable. These short stories examine the world of unwinding in a way we haven’t seen before, providing a fresh framework, new characters, and a different take on some events.With UnBound, Shusterman’s fans can continue to get caught up in the world he has created in this “gripping, brilliantly imagined futuristic thriller” (Publishers Weekly, starred review).","['Young Adult', 'Dystopia', 'Science Fiction', 'Short Stories', 'Fiction', 'Fantasy', 'Anthologies', 'Teen', 'Horror', 'Survival']",4.25,2854
Chance and Necessity,Jacques Monod,"This radical book by Nobel laureate Monod is an important intellectual event. Chance and Necessity is a philosophical statement whose intention is to sweep away as both false and dangerous the animist conception of man that has dominated virtually all Western worldviews from primitive cultures to those of dialectical materialists. He bases his argument on the evidence of modern biology, which indisputably shows, that man is the product of chance genetic mutation. With the unrelenting logic of the scientist, he draws upon what we now know (and can theorize) of genetic structure to suggest an new way of looking at ourselves. He argues that objective scientific knowledge, the only reliable knowledge, denies the concepts of destiny or evolutionary purpose that underlie traditional philosophies. He contends that the persistence of those concepts is responsible for the intensifying schizophrenia of a world that accepts, and lives by, the fruits of science while refusing to face its moral implications. Dismissing as ""animist"" not only Plato, Hegel, Bergson and Teilhard de Chardin but Spencer and Marx as well, he calls for a new ethic that will recognize the distinction between objective knowledge and the realm of values--an ethic of knowledge that can, perhaps, save us from our deepening spiritual malaise, from the new age of darkness he sees coming.PrefaceOf strange objects Vitalisms and animisms Maxwell's demons Microscopic cyberneticsMolecular ontogenesis Invariance and perturbationsEvolution The frontiers The kingdom and the darknessAppendixes","['Science', 'Philosophy', 'Biology', 'Nonfiction', 'Evolution', 'Religion', 'France', 'Physics', 'Popular Science', 'Classics']",4.13,649
Mere Christianity and The Screwtape Letters,C.S. Lewis,"Mere Christianity and The Screwtape Letters, two of C. S. Lewis's most important and enduring works, are now available in this stunning, collectible hardcover edition. The most popular of C. S. Lewis's works of non-fiction, Mere Christianity, has sold several million copies worldwide. The book bring's together Lewis's legendary broadcast talks of the war years, talks in which he set out simply to ""explain and defend the beliefe that has been common to nearly all Christians at all times."" A masterpiece of satire, The Screwtape Letters has entertained and enlightened readers the world over with its sly and ironic portrayal of human life and foibles from the vantage point of Screwtape, a highly placed assistant to ""Our Father Below.""","['Religion', 'Spirituality', 'Theology', 'Fiction', 'Classics', 'Philosophy', 'Faith', 'Christian Fiction', 'Christianity', 'Christian']",4.4,2114
The Summer Tree,Guy Gavriel Kay (Goodreads Author),"The first volume in Guy Gavriel Kay’s stunning fantasy masterwork.Five men and women find themselves flung into the magical land of Fionavar, First of all Worlds. They have been called there by the mage Loren Silvercloak, and quickly find themselves drawn into the complex tapestry of events. For Kim, Paul, Kevin, Jennifer and Dave all have their own part to play in the coming battle against the forces of evil led by the fallen god Rakoth Maugrim and his dark hordes.Guy Gavriel Kay’s classic epic fantasy plays out on a truly grand scale, and has already been delighting fans of imaginative fiction for twenty years.","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Canada', 'Magic', 'Adventure', 'Adult', 'Arthurian']",3.98,21374
The Black Lung Captain,Chris Wooding,"Darian Frey is down on his luck. He can barely keep his squabbling crew fed and his rickety aircraft in the sky. Even the simplest robberies seem to go wrong. It's getting so a man can't make a dishonest living any more.Enter Captain Grist. He's heard about a crashed aircraft laden with the treasures of a lost civilisation, and he needs Frey's help to get it. There's only one problem. The craft is lying in the trackless heart of a remote island, populated by giant beasts and subhuman monsters.Dangerous, yes. Suicidal, perhaps. Still, Frey's never let common sense get in the way of a fortune before. But there's something other than treasure on board that aircraft. Something that a lot of important people would kill for. And it's going to take all of Frey's considerable skill at lying, cheating and stealing if he wants to get his hands on it...Strap yourself in for another tale of adventure and debauchery, pilots and pirates, golems and daemons, double-crosses and double-double-crosses. The crew of the Ketty Jay are back!","['Steampunk', 'Fantasy', 'Science Fiction', 'Adventure', 'Fiction', 'Pirates', 'Adult', 'Action', 'Science Fiction Fantasy', 'Crime']",4.25,4769
Carrie's War,Nina Bawden,"Albert, Carrie and young Nick are war-time evacuees whose lives get so tangled up with the people they've come to live among that the war and their real families seem to belong to another world. Carrie and Nick are billeted in Wales with old Mr Evans, who is so mean and cold, and his timid mouse of a sister, Lou, who suddenly starts having secrets. Their friend Albert is luckier, living in Druid's Bottom with warm-hearted Hepzibah Green and the strange Mister Johnny, who can talk to animals but not to human beings. Carrie and Nick visit him there whenever they can for Hepzibah makes life exciting and enticing with her stories and delicious cooking. Gradually they begin to feel more at ease in their war-time home, but then, in trying to heal the rift between Mr Evans and his estranged sister, and save Druid's Bottom, Carrie does a terrible thing which is to haunt her for years to come. Carrie revisits Wales as an adult and tells the story to her own children.","['Historical Fiction', 'Childrens', 'Fiction', 'War', 'Classics', 'Historical', 'World War II', 'Young Adult', 'Middle Grade', 'School']",3.91,7569
Noiva até sexta,Catherine Bybee (Goodreads Author),"Gwen Harrison é a bela filha de um duque britânico que se muda para os Estados Unidos para gerir o negócio de casamentos da cunhada. Mas não tarda a apaixonar-se por Neil MacBain, um ex-fuzileiro que fará tudo para proteger a mulher que ama. Neil MacBain é um ex-fuzileiro que não tem como negar o efeito que Gwen, uma belíssima aristocrata, exerce na sua alma perturbada e no seu corpo musculado. Mas claro que Gwen está muito além do seu alcance. Até que uma ameaça do passado de Neil regressa e Gwen é apanhada no meio do fogo cruzado. Agora, para a manter em segurança, ele vai arriscar tudo: a carreira, a vida… e o coração.","['Romance', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Romantic Suspense', 'Suspense', 'Fiction', 'Military Fiction', 'Mystery', 'Adult']",4.17,11311
রুহান রুহান,Muhammed Zafar Iqbal,"এই কল্পবিজ্ঞানটি ভবিষ্যৎ এর পৃথিবীকে নিয়ে যেখানে পুরো সমাজব্যবস্থা ভেঙে গিয়েছে। মানুষ মানুষকে বিক্রী করে দিচ্ছে, যার ক্ষমতা আছে সেই সবকিছু দখল করে নিচ্ছে। এই গল্পের নায়ক রুহান নামের এক তরুণ পৃথিবীর এই দু:সময়ে মানুষকে একত্রিত করে প্রতিবাদ করে।","['Science Fiction', 'Thriller', 'Fiction', 'Young Adult', 'Dystopia']",3.73,822
Paragon,Riley Tune (Goodreads Author),"Hero or Villain. A choice that every Icon, a person born with powers, eventually has to make if they don’t want to live a life of mediocrity. For most Icons the decision is easy. Just do what your parents did. Then, there is Hunter Monroe. A powerful young Icon born from the unimaginable union of a hero and villain. Seventeen years later Hunter is seen as a half-breed abomination by some, and as a certified powerhouse by others. With his time at Purgatory Academy, the premier institute for Icons, coming to an end, Hunter must embark on a two year internship with a supergroup. After being selected to intern with The Imperial Lords, the world’s leading supergroup, Hunter’s life begins to slowly unravel. Between a shaky love life, facing an old rival, and seeing his mentors for who they truly are, Hunter is in for the longest two years of his life. Things get more complex when an Icon serial killer emerges with unthinkable power, and begins to shed light on Hunter’s life that will leave him wondering if he should use his powers to save the world, or conquer it.","['Superheroes', 'Audiobook']",4.27,132
Goddess of Light,P.C. Cast (Goodreads Author),"When hardworking Pamela Smythe whispers her wish for a god-like man, she never expects to find one--especially not in Vegas. But the goddess Artemis has dared her twin handsome brother Apollo to change all that.","['Romance', 'Fantasy', 'Mythology', 'Paranormal Romance', 'Paranormal', 'Fiction', 'Adult', 'Greek Mythology', 'Magic', 'Urban Fantasy']",4.04,6838
Killjoy,Julie Garwood (Goodreads Author),"Avery Delaney has always tried to put the past far behind her. Abandoned by her rapacious, conniving mother when she was only three days old, Avery was raised by her grandmother and beloved aunt Carolyn. Then, when she was eleven, she witnessed her grandmother's violent death, before Avery herself was shot and left for dead. Miraculously she survived. The man responsible is serving time in a Florida prison. This traumatic experience propels Avery into a life of law and order.Her razor-sharp mind and ability to gather data and decipher evidence has made Avery an expert crime analyst for the FBI. But soon she will have to use every one of her adroit skills on a case that hits painfully close to home.Avery's workaholic aunt, Carolyn Salvetti, is certain her (hopefully soon-to-be ex) husband sent her the gold embossed reservation to the posh Utopia Spa in the mountains of Colorado. At first she is resistant, but then figures it will be a welcome respite from the cutthroat advertising business, not to mention a networking extravaganza. Plus she persuades her niece to join her for the two weeks of luxury and decadence.But Carolyn never makes it to Utopia. Under false pretenses, she is taken to an isolated retreat by a handsome stranger with a dazzling smile, suave demeanor, and the darkest of motives. His name is Monk, a hired assassin. Now, with scant clues and fewer resources, Avery must track down and save Carolyn--and outmaneuver a brilliant killer who is part of an elaborate plot of madness and lethal vengeance.","['Romance', 'Romantic Suspense', 'Mystery', 'Suspense', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Thriller', 'Mystery Thriller', 'Adult']",4.02,13623
The Stories of Paul Bowles,"Paul Bowles, Robert Stone (Introduction)","The short fiction of American literary cult figure Paul Bowles is marked by a unique, delicately spare style, and a dark, rich, exotic mood, by turns chilling, ironic, and wry—possessing a symmetry between beauty and terror that is haunting and ultimately moral. In ""Pastor Dowe at Tecaté,"" a Protestant missionary is sent to a faraway place where his God has no power. In ""Call at Corazón,"" an American husband abandons his alcoholic wife on their honeymoon in a South American jungle. In ""Allal,"" a boy's drug-induced metamorphosis into a deadly serpent leads to his violent death. Here also are some of Bowles's most famous works, including ""The Delicate Prey,"" a grimly satisfying tale of vengeance, and ""A Distant Episode,"" which Tennessee Williams proclaimed ""a masterpiece.""","['Short Stories', 'Fiction', 'Literature', 'Morocco', 'Literary Fiction', 'American', 'Africa', 'Anthologies', 'Contemporary', 'The United States Of America']",4.29,1073
War for the Oaks,Emma Bull (Goodreads Author),"Acclaimed by critics and readers on its first publication in 1987, winner of the Locus Award for Best First Novel, Emma Bull's War for the Oaks is one of the novels that has defined modern urban fantasy.Eddi McCandry sings rock and roll. But she's breaking up with her boyfriend, her band just broke up, and life could hardly be worse. Then, walking home through downtown Minneapolis on a dark night, she finds herself drafted into an invisible war between the faerie folk. Now, more than her own survival is at risk—and her own preferences, musical and personal, are very much beside the point.By turns tough and lyrical, fabulous and down-to-earth, War for the Oaks is a fantasy novel that's as much about this world as about the other one. It's about real love and loyalty, about real music and musicians, about false glamour and true art. It will change the way you hear and see your own daily life.","['Fantasy', 'Urban Fantasy', 'Fiction', 'Romance', 'Young Adult', 'Fae', 'Paranormal', 'Fairies', 'Science Fiction Fantasy', 'Music']",4.01,9739
Rio's World,Rayna Felicia (Goodreads Author),"“I’ve tried sarcasm, quick wit, insults, plain old rudeness, and even resorted to running away- Stop laughing, I’m serious! I physically ran away, but Victore seems immune to everything I do. No matter where I am, he’ll show up just to antagonise me.”“I wish he’d antagonise me, he’s super-hot. Okay okay, I don’t know what to tell you Riona, maybe he just likes to mess with you because you’re the only girl on the basketball team.”“That makes no sense, he has a slew of cheerleaders to choose from. Did I tell you he actually forbade me to see a guy? Tyrant. I hate that he always seems to know what I’m thinking and- Ugh, sorry, I know I’m venting. I think I’m just extra-cranky because I haven’t been sleeping well.”“You’re having nightmares again, aren’t you? Rio, the incident happened ten years ago. That’s a long time.”“I know... but it doesn’t change the fact that Trey’s dead.”* * *Riona is a girl with a strange past that haunts her in the form of gut-wrenching nightmares. She tries to put it behind her and enjoy life, traveling with her basketball team, but is soon reminded of the fact that things never go as planned.Victore Deville. Even his name sounded deadly. Ever since the mysterious ‘all-too-perfect’ specimen of male had shown up with his intense glares and infuriating comments, Rio lost all control of her own emotions and thoughts. Hoping he wouldn't notice his effect, she used her sharp wit and sarcasm to keep him at bay, only to discover that Victore was the only person who wasn't thrown off by her humour.As the only girl competing in an all boys’ basketball tournament, you'd think Rio would have enough problems. Add to that the crude nightmares, almost romances, crazy teammates, dramatic cheerleaders, hilarious moments and mysterious events, and you've got... Rio's World.",[],4.33,12
O Palácio dos Prazeres Celestiais,"Adam Williams, Catarina Lima (Translator)","Um estrondoso épico romântico… Uma aventura histórica notável…O Oriente e o Ocidente em confronto… Um verdadeiro clássico contemporâneo!China, finais do séc. XIX. Os estrangeiros residentes na cidade de Shishan são surpreendidos pelas convulsões da revolta dos Boxers, uma brutal rebelião dos camponeses chineses contra a colonização estrangeira e a submissão da dinastia Manchu à dominação europeia no Império da Grande Muralha.Será neste sanguinário pano de fundo que esta imponente saga nos irá narrar o sensual caso amoroso de Henry Manners, um agente secreto Vitoriano, com Helen Delamere, a bonita filha de um comerciante local, educada num convento. Nesta cidade, a vida social dos estrangeiros, gira em redor de Dr. Edward Airton, um compassivo médico escocês que dirige um hospital e uma missão. Mas o seu papel não é apenas este. Tendo-se tornado o oponente filosófico do Mandarim, um omnipotente funcionário local, o Dr. Airton faz a ponte cultural entre o Oriente e o Ocidente.E há também o Palácio dos Prazeres Celestiais, o mais célebre bordel da cidade, que tem um papel central na vida dos residentes, tanto dos expatriados como dos locais. Localizado mesmo ao lado da praça das execuções, a patroa é a Mãe Liu, cujo filho, Ren Ren, se distingue pelo seu sadismo. No entanto, à medida que a rebelião vai passando de simples rumores a uma realidade cada vez mais assustadora, os habitantes Ocidentais de Shishan vêem-se compelidos a colocarem-se nas intrépidas mas amorais mãos de Manners.Épico nos seus objectivos e na sua execução, este ambicioso romance, povoado por personagens apaixonantes e rico em detalhes políticos e históricos, abre uma janela entre dois mundos, ambos à beira da extinção.","['Historical Fiction', 'China', 'Historical', 'Fiction', 'Romance', 'Asia', 'Asian Literature']",3.8,356
Light It Up,Kekla Magoon (Goodreads Author),"Told in a series of vignettes from multiple viewpoints, Kekla Magoon's Light It Up is a powerful, layered story about injustice and strength—as well as an incredible follow-up to the highly acclaimed novel How It Went Down.A girl walks home from school. She's tall for her age. She's wearing her winter coat. Her headphones are in. She's hurrying.She never makes it home.In the aftermath, while law enforcement tries to justify the response, one fact remains: a police officer has shot and killed an unarmed thirteen-year-old girl. The community is thrown into upheaval, leading to unrest, a growing movement to protest the senseless taking of black lives, and the arrival of white supremacist counter demonstrators.","['Young Adult', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Race', 'Social Justice', 'African American', 'Teen', 'Social Issues', 'Death']",4.21,419
Augustus,John Williams,"A brilliant and beautifully written novel in the tradition of Robert Graves, Augustus is a sweeping narrative that brings vividly to life a compelling cast of historical figures through their letters, dispatches, and memoirs.A mere eighteen years of age when his uncle, Julius Caesar, is murdered, Octavius Caesar prematurely inherits rule of the Roman Republic. Surrounded by men who are jockeying for power–Cicero, Brutus, Cassius, and Mark Antony–young Octavius must work against the powerful Roman political machinations to claim his destiny as first Roman emperor. Sprung from meticulous research and the pen of a true poet, Augustus tells the story of one man’s dream to liberate a corrupt Rome from the fancy of the capriciously crooked and the wildly wealthy.","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Literature', 'Novels', 'American', 'The United States Of America', 'Roman', 'Italy']",4.21,9632
Writing Popular Fiction,Dean Koontz (Goodreads Author),"Writer's Digest Hardcover, 1974 2nd printing with 232 pgs., size: 8 3/4"" x 5 3/4 approx. - Fan of popular fiction, professional writer, new writer looking for markets-whoever you are, you'll enjoy this book. It takes you behind the publishing scene and shows you how popular novels-science fiction, mysteries, suspense thrillers, Gothic-romances, adult fantasy, Westerns, and erotica are created and how you can write them too. This book offers you, whatever you write, the chance to perfect your craft while earning income, building your reputation, and experiencing the encouragement of seeing your work in print. Dean Koontz has sold since 1967, over twenty-four (copyright of this book 1974) popular novels. Before becoming a full-time free-lance writer, he worked as a supermarket check out clerk, a drummer in a rock band, a foredt ranger, a tutor for underprivileged children with the Appalachian Poverty Program, and as a suburban school English teacher, among other things.","['Writing', 'Nonfiction', 'Reference', 'Education', 'Language']",3.92,234
Cop Hater,Ed McBain,"THE HEROES OF THE CITY'S STREETS BECOME THE HUNTED -- IN THIS CRIME FICTION CLASSICED MCBAIN'S FIRST 87th PRECINCT NOVELSwift, silent, and deadly -- someone is knocking off the 87th Precinct's finest, one by one. The how of the killings is obvious: three .45 shots from the dark add up to one, two, three very dead detectives. The why and the who are the Precinct's headaches now.When Detective Reardon is found dead, motive is a big question mark. But when his partner becomes victim number two, it looks like open-and-shut grudge killings. That is, until a third detective buys it.With one meager clue, Detective Steve Carella begins his grim search for the killer, a search that takes him into the city's underworld to a notorious brothel, to the apartment of a beautiful and dangerous widow, and finally to a .45 automatic aimed straight at his head....","['Mystery', 'Crime', 'Fiction', 'Thriller', 'Detective', 'Mystery Thriller', 'Noir', 'Police', 'American', '20th Century']",3.79,5611
Brief Cases,Jim Butcher (Goodreads Author),"Brief Cases is the sequel anthology of Side Jobs, and will be released before Peace TalksSet to include the following stories:An exclusive novellette from the perspective of Maggie and Mouse.“Curses” — from The Naked City, edited by Ellen DatlowTakes place between Small Favor and Turn Coat.“AAAA Wizardry” — from the Dresden Files RPG, published by Evil HatHarry teaches a group of young Wardens his procedure for dealing with supernatural nasties.“Even Hand” — originally from Dark and Stormy Knights, edited by Pat Elrod. Reprinted in Beyond the Pale, edited by Henry Herz.Gentleman Johnnie Marcone clashes with a rival supernatural power. Told from Marcone’s point of view.Takes place between Turn Coat and Changes.“B is for Bigfoot” — from Under My Hat: Tales From the Cauldron, edited by Jonathan Strahan. Republished in Working for Bigfoot.Takes place between Fool Moon and Grave Peril.“I Was A Teenage Bigfoot” — from Blood Lite 3: Aftertaste, edited by Kevin J. Anderson. Republished in Working for Bigfoot.Takes place circa Dead Beat.“Bigfoot on Campus” — from Hex Appeal, edited by P.N. Elrod. Republished in Working for Bigfoot.Takes place between Turn Coat and Changes.“Bombshells” — Molly-POV novella from Dangerous Women, edited by George R. R. Martin and Gardner Duzois.Molly teams up with Justine and Andi to thwart a Fomor plot.Takes place between Ghost Story and Cold Days.“Jury Duty” — short story for Unbound, edited by Shawn Speakman.Harry endures Jury Duty.Set after Skin Game.“Cold Case” — short story from Shadowed Souls, edited by Jim Butcher and Kerrie Hughes.In Molly’s first job in her new role, she teams up with Ramirez to take on a Lovecraft-esque cult.Takes place shortly after Cold Days.“Day One” — short story for Unfettered II, edited by Shawn Speakman.Butters’ first mission.Set after Skin Game.“A Fistful of Warlocks” — short story for Straight Outta Tombstone, edited by David Boop.Luccio takes on necromancers in the Wild West.Set long before the events of the series.","['Fantasy', 'Urban Fantasy', 'Short Stories', 'Fiction', 'Paranormal', 'Audiobook', 'Mystery', 'Magic', 'Anthologies', 'Vampires']",4.41,14266
The Social Climber of Davenport Heights,Pamela Morsi (Goodreads Author),"Ah, the life of the upper-crust: decadent, flaky and not so good for the heart. Jane Lofton has everything she ever dreamed of: a high-powered career, a fabulous home, a wealthy husband, David, and a beautiful daughter, Brynn. Of course, David also has a new girlfriend spending his old money. Brynn also has a therapist helping her articulate her contempt for her mother. And Jane also has……an obligation to the Man Upstairs. A chance meeting between her BMW and an eighteen-wheeler prompts Jane to make a deal: let her live and she'll dedicate herself to Doing Good. Whatever that means. Jane's platinum-card kung fu has taught her how to spend, but not how to give—turns out it's actually pretty hard! But when her country-club life crumbles, Jane is faced with an even bigger challenge: replacing all her dreams and salvaging her soul.Wise, witty and relentlessly real, The Social Climber of Davenport Heights (Originally published as Doing Good) is a story about discovering the difference between what something costs…and what it's worth.","['Fiction', 'Romance', 'Chick Lit', 'Contemporary', 'Contemporary Romance']",3.67,335
An Act of Treachery,Ann Widdecombe,"Catherine Dessin is 15 and still at convent school when the Germans enter Paris in 1940. Her parents are patriots and she is taught to hate the enemy, but two years later she falls in love with a senior and married German officer, defying the anger of her family and friends.Catherine grows up abruptly when Klaus, the German officer, realizes the evil of the regime he is serving. Klaus now struggles with his own conflict of loyalties—between Catherine and his family and between his patriotic duty and his hatred of Nazism.",['Fiction'],3.91,116
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 18","CLAMP, William Flanagan (Translator)","A DEADLY GAME OF CHESS! In the world of Infinity, Princess Sakura has become a Chess Master and the other travelers are her pieces. But the Mafia is running the game, and they don't care if Sakura's opponents break the rules or murder Sakura's companions! Why is Sakura so determined to risk everything?","['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Romance', 'Shonen', 'Adventure', 'Comics Manga', 'Fiction', 'Graphic Novels Manga']",4.34,2230
Point of Contact,"Mike Maden (Goodreads Author), Tom Clancy (Series Creator), Scott Brick (Narrator)","13 hours and 30 minutes In the latest electrifying adventure in Tom Clancy's #1 New York Times bestselling series, Jack Ryan, Jr., learns that sometimes the deadliest secret may be standing right next to you. Former U.S. Senator Weston Rhodes is a defense contractor with an urgent problem. His company needs someone to look over the books of Dalfan Technologies, a Singapore company—quickly. He turns to his old friend Gerry Hendley for help. Hendley Associates is one of the best financial analysis firms in the country and the cover for The Campus, a top-secret American intelligence agency. Rhodes asks for two specific analysts, Jack Ryan Jr., and Paul Brown, a mild-mannered forensic accountant.Both Ryan and Brown initially resist, for different reasons. On the long flight over, Ryan worries he’s being sidelined from the next Campus operation in America’s war on terror. Brown—who was never very good with people—only worries about the numbers, and finding a good cup of tea.Brown has no idea Jack works for The Campus but the awkward accountant is hiding secrets of his own. Rhodes has tasked him with uploading a cyberwarfare program into the highly secure Dalfan Technologies mainframe on behalf of the CIA.On the verge of mission success, Brown discovers a game within the game, and the people who now want to kill him are as deadly as the cyclone bearing down on the island nation. Together Ryan and Brown race to escape both the murderous storm and a team of trained assassins in order to prevent a global catastrophe, even at the cost of their own lives.","['Fiction', 'Thriller', 'Action', 'Audiobook', 'Adventure', 'Espionage', 'Spy Thriller', 'Suspense', 'Mystery Thriller', 'Mystery']",3.99,5340
Sidetracked,S.T. Abby,"They always want to break me, but I'm too strong now. Untouchable. Or at least I was...until her. **** LOGAN I've had tunnel vision for one main goal for so long, that I forgot there was a whole other world just outside. Until Lana. She's everything I never expected, and I love the fact I can never guess her every move or reaction. It's part of the reason I keep falling. But I also know she shuts me out, hides things from me she feels she can't share. One day, I hope she trusts me enough to share. It isn't until my job puts her at risk that I realize just how fierce she is, but it doesn't stop me from doing all I can to protect her. I should walk away to protect her better, but I can't. Instead, I'm forced to find other ways to keep her safe. I just hope it's enough. Though she is fierce, she's still fragile... Right?","['Dark', 'Romance', 'Suspense', 'Contemporary', 'Crime', 'Thriller', 'Romantic Suspense', 'Abuse', 'Adult', 'Novella']",4.65,5667
Task Force,Brian Falkner (Goodreads Author),"A sci-fi military thriller perfect for kids who love Halo and Call of Duty! They depend on each other. Humanity depends on them. The final invasion is coming. The aliens have massed on the northeastern edge of Russia, waiting to attack as soon as the turbulent waters of the Bering Strait turn to ice. Recon Team Angel must act now. It’s up to them to shepherd a task force upriver and infiltrate the aliens’ stronghold. They must cripple their enemies quickly and quietly. Luckily, Recon Team Angel was made for such missions. The six teens have been modified to look like aliens. They have spent years mastering alien culture so that they can talk, act—even think—like their enemies. But with their target in sight and time running out, can they save humanity and themselves?",['Science Fiction'],4.22,139
Goodbye Stranger,Rebecca Stead,"Bridge is an accident survivor who's wondering why she's still alive. Emily has new curves and an almost-boyfriend who wants a certain kind of picture. Tabitha sees through everybody's games—or so she tells the world. The three girls are best friends with one rule: No fighting. Can it get them through seventh grade? This year everything is different for Sherm Russo as he gets to know Bridge Barsamian. What does it mean to fall for a girl—as a friend? On Valentine's Day, an unnamed high school girl struggles with a betrayal. How long can she hide in plain sight?","['Middle Grade', 'Young Adult', 'Realistic Fiction', 'Fiction', 'Contemporary', 'Coming Of Age', 'Childrens', 'Romance', 'Juvenile', 'Teen']",3.93,12407
Keeping a Princess Heart: In a Not-So-Fairy-Tale World,Nicole Johnson,"How can a woman live with hope . . . in the midst of reality?You were once a little girl, dreaming of ""happily ever after"" like a fairy-tale princess. But unlike the fantasy world of Sleeping Beauty or Cinderella, reality has hit you hard.Living in the not-so-fairy-tale world of laundry, kids, carpools, and your sometimes not-so-charming prince, you wonder how your heart wil survive, because what you have isn't even close to what you hoped for. Hang on! Real hope is found in the tension between the two?in an invisible kingdom. This place is where you discover the true heart of a princess?one full of dreams, wonder, delight, and joy.With rich insights and compelling stories, Nicole helps you discover the timeless truths that can transform a woman's heart into the heart of a princess. You are recognized by the King, loved by the Prince, and promised the happiest ""happily ever after"" of all times.","['Christian', 'Nonfiction', 'Inspirational', 'Religion', 'Princesses', 'Spirituality', 'Womens', 'Christian Living', 'Christian Non Fiction', 'Faith']",3.8,274
The Major Works,"Percy Bysshe Shelley, Zachary Leader (Editor), Michael O'Neill (Editor)","Percy Bysshe Shelley (1792-1822) was a Romantic poet of radical imaginings, living in an age of change. His tempestuous life and friendship with Byron, and his tragically early death, at times threatened to overwhelm his legacy as a poet, but today his standing as one of the foremost English authors is assured. This freshly edited collection - the fullest one-volume selection in English - includes all but one of the longer poems, from Queen Mab onwards, in their entirety. Only Laon and Cythna is excerpted, in a generous selection. As well as works such as Prometheus Unbound, The Mask of Anarchy, and Adonais, the volume includes a wide range of Shelley's shorter poems and much of his major prose, including A Defence of Poetry and almost all of A Philosophical View of Reform. Shelley emerges from these pages as a passionate and eloquent opponent of tyranny and a champion of human possibility.","['Poetry', 'Classics', '19th Century', 'British Literature', 'Fiction', 'Romanticism', 'Literature', 'Romantic', 'Essays', 'Anthologies']",4.22,274
Naked Addiction,Caitlin Rother (Goodreads Author),"Tired of working undercover narcotics, police detective Ken Goode wants a transfer to homicide. After the Camus-reading surfer finds the body of a beautiful woman in an alley, he is assigned to head a team of relief detectives with the hopes of proving he is homicide-worthy. As Goode explores the underbelly of the affluent coastal enclave of La Jolla, California, and its hipster neighbor, Pacific Beach, he clashes with the patrons and employees of a neighborhood bar: real estate agents and beauty school students who have possible ties to an escort service and a drug ring – and keep turning up dead. The untimely disappearance of Goode’s sister proves a worrisome distraction as he chases suspects and a dogged cub reporter chases him. In this intricately-layered plot, Rother’s characters use substances or other people to try to fill the empty spaces within themselves, with addictions ranging from sex, alcohol, cocaine and cigarettes to Goode’s own, caffeine and damaged women.","['Mystery', 'True Crime', 'Thriller', 'Audiobook']",3.94,77
Killing Sam Knight,John Cassian (Goodreads Author),"What happens when a serial killer falls in love...and finds a partner in crime? So caught up in his lovedrunk daze, killer Samuel H. Knight winds up in the crosshairs of another terrifying murderer -- one seeking revenge, closure, and love. *GRAPHIC CONTENT WARNING* *This is a work of fiction meant for MATURE, 18+ AUDIENCES ONLY!!*In this startling sequel to the critically acclaimed thriller Killing Matt Cooper , Killing Sam Knight finds its eponymous antihero in his most dangerous spot yet: Happiness. Feeling secure in his relationship with FBI Supervisory Special Agent Kathleen Underwood, the two decide to commit murder together. But when things go wrong, the hunters become the hunted, and they find themselves being chased by a vicious killer who flays his victims alive -- and, like Knight, this killer just wants to be loved...","['Dark', 'Horror', 'Thriller', 'Suspense', 'Crime', 'Mystery Thriller', 'Humor', 'Psychological Thriller']",3.96,85
